Year,Round,Overall,Team,Player,Nat.,Pos,PosSimp,Age,To,YrsPlayed,AmateurTeam,AmateurLeague,GP,G,A,PTS,PlusMinus,PIM,Gpgoalie,Wgoalie,Lgoalie,TOTSOlossgoalie,SavePercgoalie,GAAgoalie,PS
2005,4,106,Boston Bruins,Vladimir Sobotka\sobotvl01,CZ,C,C,18,2020,15,Slavia Praha (Czech-2),Czech2,548,53,118,171,-22,362,0,0,0,0,0,0,10.8
2005,4,107,New York Rangers,Tom Pyatt\pyattto01,CA,C,C,18,2019,14,Saginaw (OHL),OHL,445,43,58,101,-41,71,0,0,0,0,0,0,3.7
2005,4,108,Chicago Blackhawks,Niklas Hjalmarsson\hjalmni01,SE,D,D,18,2020,15,HV 71 Jonkoping Jr. (Sweden-Jr.),SwedenJr,780,25,142,167,112,314,0,0,0,0,0,0,43.8
2005,4,109,Washington Capitals,Andrew Thomas\thomaan01,US,D,D,19,2005,0,Denver (WCHA),NCAA,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,110,Minnesota Wild,Kyle Bailey\baileky01,CA,C,C,18,2005,0,Portland (WHL),WHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,111,Calgary Flames,J.D. Watt\wattj.01,CA,RW,W,18,2005,0,Vancouver (WCHL),WCHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,112,San Jose Sharks,Alex Stalock\staloal01,US,G,G,18,2020,15,Cedar Rapids (USHL),USHL,151,0,4,4,0,12,151,61,49,18,0.909,2.61,21.2
2005,4,113,Chicago Blackhawks,Nathan Davis\davisna01,US,C,C,19,2005,0,Miami (Ohio) (CCHA),NCAA,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,114,Vancouver Canucks,Alexandre Vincent\vinceal01,CA,G,G,18,2005,0,Chicoutimi (QMJHL),QMJHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,115,Ottawa Senators,Janne Kolehmainen\kolehja01,FI,LW,W,19,2005,0,SaiPa (Finland),Finland,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,116,Atlanta Thrashers,Jordan Smotherman\lavaljo01,US,LW,W,19,2009,4,Quebec (QMJHL),QMJHL,4,1,1,2,1,0,0,0,0,0,0,0,0.3
2005,4,117,Chicago Blackhawks,Denis Istomin\istomde01,RU,RW,W,18,2005,0,Chelyabinsk (Russia-2),Russia2,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,118,Washington Capitals,Patrick McNeill\mcneipa01,CA,D,D,18,2005,0,Saginaw (OHL),OHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,119,Philadelphia Flyers,Jeremy Duchesne\ducheje01,US,G,G,18,2010,5,Halifax (QMJHL),QMJHL,1,0,0,0,0,0,1,0,0,0,0.75,3.59,-0.1
2005,4,120,Edmonton Oilers,Viacheslav Trukhno\trukhvi01,RU,LW,W,18,2005,0,Prince Edward (QMJHL),QMJHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,121,Montreal Canadiens,Juraj Mikus\mikusju01,SK,RW,W,18,2005,0,Skalica (Slovakia),Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,122,Minnesota Wild,Morten Madsen\madsemo01,DK,RW,W,18,2005,0,Vastra Frolunda Jr. (Sweden-Jr.),SwedenJr,0,0,0,0,0,0,0,0,0,0,0,0,0
